,noaa,time_0,lat_0,lon_0,th_0,f_0,fn_0,fp_0,a_f_0,a_fn_0,a_fp_0,hmin_0,hmax_0,time_1,dtime_1,lat_1,lon_1,th_1,f_1,fn_1,fp_1,a_f_1,a_fn_1,a_fp_1,f_rate_1,hmin_1,hmax_1,vmin_1,th_vmin_1,vmax_1,th_vmax_1,vnmean_1,th_vnmean_1,vpmean_1,th_vpmean_1,time_2,dtime_2,lat_2,lon_2,th_2,sm,f_2,fn_2,fp_2,a_f_2,a_fn_2,a_fp_2,f_rate_2,hmin_2,hmax_2,s_a_2,s_n_2,s_big_a_2
0,8496,1999-03-19 06:20:00,-11.020422,-6.2248216,7.262033,2.3056924e+20,-1.6990363e+20,4.5231787e+20,1.7577883e+18,63.272736,161.09093,-439.06433,244.90475,1999-03-19 18:20:00,12.0,-11.048672,0.68998617,4.0925426,2.5296598e+21,-1.02149845e+21,1.2443047e+21,9.199639e+18,203.90909,318.81818,1.9159089e+20,-1822.8108,1676.3555,-432.84314,7.2620287,818.71387,3.9754045,-94.48681,4.3266635,134.07819,3.9754157,1999-03-21 12:58:59,56.6,-10.077377,25.89938,25.754124,,8.4398943e+21,-4.200142e+21,4.2397515e+21,3.0167707e+19,698.9085,652.72723,1.4504108e+20,-2695.4353,2089.6467,59.936344,4.0,31.364326
1,8505,1999-03-29 11:13:00,10.916107,22.75719,28.705164,2.792338e+19,-6.1726205e+19,6.978448e+18,3.1957522e+17,29.13636,4.477273,-94.38576,127.06841,1999-03-29 23:13:00,12.0,11.052276,29.553947,34.344475,7.314606e+20,-2.7664633e+20,2.671923e+20,3.3939945e+18,74.0909,58.818188,5.86281e+19,-944.2483,1115.7396,-916.6196,32.518677,1275.2288,31.276314,-179.96611,32.518692,236.5862,33.356506,1999-03-31 14:03:59,56.88333,10.912835,50.93474,53.67582,,1.402262e+21,-7.0549106e+20,6.967708e+20,8.6503445e+18,143.63635,109.72731,2.4160655e+19,-962.938,1287.6671,4.5370812,1.0,4.5370812
2,8532,1999-05-04 09:10:00,-41.066246,-5.572272,37.439266,1.2232138e+20,-8.3107835e+19,9.3878774e+19,1.0804184e+18,32.590874,36.000023,-388.4456,350.06253,1999-05-04 21:10:00,12.0,-40.888813,0.5440724,36.999275,9.110857e+20,-4.7980175e+20,5.2594127e+20,4.2317168e+18,109.09091,94.18183,6.5730366e+19,-995.3354,1097.7031,-1016.8544,37.14521,1006.85626,36.997814,-232.07147,37.291626,241.60023,37.439262,1999-05-05 04:37:59,19.466665,-40.701645,4.280596,37.002262,,1.2214038e+21,-5.593686e+20,6.6203506e+20,6.5163315e+18,152.36357,99.63638,5.645972e+19,-1032.2261,1281.8073,4.204855,1.0,4.204855
3,8536,1999-05-06 00:51:00,-24.339493,-64.70412,65.38448,2.2380828e+20,-1.6161539e+21,6.673542e+20,2.2410166e+18,360.59094,134.1818,-233.83495,151.6814,1999-05-06 12:51:00,12.0,-24.324718,-57.710827,59.28771,1.5772567e+21,-2.4906282e+21,1.718214e+21,7.1379404e+18,559.5001,265.27267,1.12787375e+20,-832.24493,696.872,-1723.7126,60.46277,1540.5667,59.519096,-287.68207,60.46274,250.50786,59.28757,1999-05-10 19:23:59,114.549995,-24.55369,-0.84300363,21.297314,,2.1055945e+22,-1.1510322e+22,9.545619e+21,7.0142544e+19,1907.6351,1247.2733,1.8186065e+20,-2286.0303,1899.597,93.30569,14.0,19.844889
4,8538,1999-05-06 18:01:00,10.791718,16.75639,22.039972,1.7754963e+20,-4.5130906e+19,2.8579442e+20,1.5282269e+18,20.363628,109.45453,-330.39795,463.98572,1999-05-07 06:01:00,12.0,10.627663,23.556202,27.376743,3.0607814e+21,-1.1876003e+21,2.0019729e+21,9.909189e+18,141.81815,337.2727,2.4026931e+20,-2022.6454,1729.9463,-1006.012,23.836939,1427.3896,25.397202,-180.571,23.8369,230.07816,27.376633,1999-05-07 21:10:59,27.166664,10.450838,31.971905,34.83887,,5.4539836e+21,-2.0951493e+21,3.3588333e+21,1.900401e+19,263.18176,496.5454,1.942246e+20,-2022.6454,1815.4232,46.557053,4.0,24.978168
5,8549,1999-05-18 05:49:00,24.779554,28.043417,38.474796,9.795206e+19,-1.566579e+20,7.3691226e+20,1.0282764e+18,57.09092,204.0,-152.70982,221.10587,1999-05-18 17:49:00,12.0,24.838568,34.47767,43.01474,5.2874902e+20,-4.228692e+20,9.707512e+20,3.4294444e+18,106.81817,250.63643,3.5899747e+19,-594.8175,696.0802,-1049.6932,39.08324,1114.1871,41.25558,-189.52745,38.626457,226.39441,41.09811,1999-05-20 23:53:59,66.08333,24.556288,64.06662,67.59221,>,1.2471262e+22,-5.061047e+21,7.410214e+21,5.3814114e+19,436.99976,530.0023,1.87238e+20,-1106.1808,1204.9517,290.19653,5.0,193.00705
6,8635,1999-07-14 12:13:00,42.19526,47.151806,56.526566,1.4202811e+20,-8.869698e+19,5.295052e+19,1.3756791e+18,31.524271,16.883495,-120.682106,326.81473,1999-07-15 00:13:00,12.0,41.898,53.095676,60.160137,1.2819301e+21,-1.43923855e+20,2.9715816e+20,8.0255817e+18,39.999996,67.27272,9.499183e+19,-676.60547,677.372,-1408.4266,60.16015,1656.767,58.524216,-313.13937,58.983704,303.74646,58.29672,1999-07-15 23:55:59,35.716663,41.649006,65.20779,68.73134,>,3.2041318e+21,-6.2074254e+20,1.3693877e+21,2.2932523e+19,101.499985,205.31793,8.57332e+19,-716.5862,780.2311,20.98681,2.0,14.366024
7,8641,1999-07-19 18:37:00,30.38708,40.094444,45.512005,8.216326e+19,-1.1833877e+20,3.0024439e+19,8.663383e+17,42.636368,13.545457,-247.11398,90.12414,1999-07-20 06:37:00,12.0,30.340345,46.32545,50.49934,7.355189e+20,-2.810266e+20,2.3833707e+20,4.362971e+18,53.818165,56.681805,5.4446303e+19,-829.55225,615.6098,-873.0763,49.756035,1073.4213,46.715107,-203.60191,48.302475,235.49077,47.767952,1999-07-20 16:54:59,27.399998,30.398348,52.298157,55.446484,,8.9918026e+20,-4.8098638e+20,4.18194e+20,6.0183336e+18,90.272736,77.4545,2.9818142e+19,-829.5505,737.14764,5.9752703,2.0,4.819539
8,8722,1999-10-04 08:45:00,13.504322,-28.23256,28.58948,3.78551e+20,-8.714615e+19,7.182753e+20,2.8338392e+18,32.083828,234.39153,-378.51035,384.7105,1999-10-04 20:45:00,12.0,13.661547,-21.854998,22.606138,2.5220746e+21,-1.4154172e+21,1.4734455e+21,9.568718e+18,213.40894,366.36377,1.7862696e+20,-1393.108,1129.4152,-672.55054,24.524862,1491.523,22.860353,-138.80116,28.322744,196.14677,22.606184,1999-10-06 01:23:59,40.649998,13.899053,-6.0339346,9.529094,>,1.0263388e+22,-5.030873e+21,5.2325157e+21,3.1760095e+19,644.0008,903.0,2.4316943e+20,-2198.4126,2052.7773,90.029015,12.0,21.444014
9,8724,1999-10-04 13:00:00,18.957132,-8.069201,14.688562,3.9618615e+18,-6.693533e+18,3.468466e+19,5.7109145e+16,4.3010755,16.795698,-87.18876,75.80811,1999-10-05 01:00:00,12.0,18.988321,-1.2273463,12.516442,5.532979e+20,-2.5672695e+19,2.3819998e+19,2.0956641e+18,14.363623,12.909055,4.5778004e+19,-1377.365,786.44464,-463.018,13.841659,817.22546,12.516489,-133.24701,14.325204,148.7018,12.636721,1999-10-06 01:19:59,46.48333,19.015108,12.747826,17.606848,>,1.6907908e+21,-8.3699054e+20,8.538003e+20,7.1961073e+18,151.99913,186.99948,3.62889e+19,-1849.4567,1519.5647,10.966763,2.0,7.5382066
